"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"320390 Nova Venécia";-;-;-;8
"320400 Pancas";-;-;-;3
"320405 Pedro Canário";2;3;2;2
"320410 Pinheiros";-;-;-;9
"320420 Piúma";-;-;-;5
"320430 Presidente Kennedy";2;4;4;-
"320435 Rio Bananal";-;4;4;-
"320460 Santa Teresa";1;1;1;2
"320480 São José do Calçado";-;1;1;6
"320490 São Mateus";2;1;7;17
"320495 São Roque do Canaã";-;-;-;2
"320500 Serra";-;3;5;39
"320501 Sooretama";1;-;-;9
"320503 Vargem Alta";-;-;-;2
"320506 Venda Nova do Imigrante";-;-;-;8
"320510 Viana";-;-;2;10
"320515 Vila Pavão";-;-;-;3
"320517 Vila Valério";2;2;2;-
"320520 Vila Velha";-;5;19;52
"320530 Vitória";2;9;6;69
"330010 Angra dos Reis";-;19;20;17
"330015 Aperibé";-;-;-;4
"330020 Araruama";4;2;-;15
"330023 Armação dos Búzios";-;-;-;5
"330025 Arraial do Cabo";-;-;-;2
"330030 Barra do Piraí";-;2;2;10
"330040 Barra Mansa";4;5;8;8
"330045 Belford Roxo";1;-;-;5
"330050 Bom Jardim";-;1;-;2
"330060 Bom Jesus do Itabapoana";3;1;4;9
"330070 Cabo Frio";14;4;3;39
"330100 Campos dos Goytacazes";7;20;14;121
"330110 Cantagalo";-;-;-;7
"330115 Cardoso Moreira";-;3;3;-
"330120 Carmo";-;-;-;12
"330130 Casimiro de Abreu";4;4;4;13
"330095 Comendador Levy Gasparian";-;-;-;3
"330140 Conceição de Macabu";-;-;-;59
"330160 Duas Barras";-;-;-;2
"330170 Duque de Caxias";10;-;-;13
"330180 Engenheiro Paulo de Frontin";-;-;-;1
"330185 Guapimirim";3;-;-;8
"330187 Iguaba Grande";-;-;-;4
"330190 Itaboraí";5;2;2;57
"330200 Itaguaí";4;3;3;11
"330205 Italva";6;1;1;12
"330210 Itaocara";-;-;-;3
"330220 Itaperuna";2;2;2;47
"330225 Itatiaia";-;-;-;8
"330227 Japeri";2;1;1;6
"330240 Macaé";4;6;31;54
"330250 Magé";3;7;15;5
"330260 Mangaratiba";3;4;4;23
"330270 Maricá";-;-;-;9
"330280 Mendes";-;-;-;1
"330285 Mesquita";-;-;-;2
"330300 Miracema";1;1;1;11
"330320 Nilópolis";-;4;-;3
"330330 Niterói";1;3;5;18
"330340 Nova Friburgo";4;1;2;14
"330350 Nova Iguaçu";8;10;11;30
"330360 Paracambi";4;-;-;8
"330370 Paraíba do Sul";-;-;-;16
"330385 Paty do Alferes";-;-;-;1
"330390 Petrópolis";4;4;4;14
"330410 Porciúncula";-;-;-;12
"330412 Quatis";-;-;-;1
"330414 Queimados";36;-;-;7
"330415 Quissamã";1;-;-;3
"330420 Resende";-;-;-;20
"330430 Rio Bonito";-;-;-;15
"330440 Rio Claro";-;-;-;8
"330450 Rio das Flores";-;-;-;1
"330452 Rio das Ostras";1;-;-;-
"330455 Rio de Janeiro";36;11;11;398
"330460 Santa Maria Madalena";-;-;-;3
"330470 Santo Antônio de Pádua";1;3;3;12
"330480 São Fidélis";2;3;3;-
"330475 São Francisco de Itabapoana";-;-;-;8
"330490 São Gonçalo";3;6;45;72
"330500 São João da Barra";-;-;-;15
"330510 São João de Meriti";6;8;8;13
"330513 São José de Ubá";-;3;3;-
"330515 São José do Vale do Rio Preto";-;6;3;3
"330520 São Pedro da Aldeia";3;7;8;12
"330530 São Sebastião do Alto";-;2;2;2
"330550 Saquarema";-;-;-;1
"330555 Seropédica";1;1;-;12
"330560 Silva Jardim";-;-;-;9
"330570 Sumidouro";-;-;-;2
"330580 Teresópolis";-;-;-;11
"330600 Três Rios";-;-;-;4
"330610 Valença";-;2;3;6
"330615 Varre-Sai";3;2;4;2
"330620 Vassouras";1;5;5;6
"330630 Volta Redonda";3;4;4;29
"350010 Adamantina";-;-;-;4
"350020 Adolfo";-;-;-;3
"350030 Aguaí";-;-;-;1
"350040 Águas da Prata";1;-;-;3
"350050 Águas de Lindóia";-;-;-;9
"350060 Águas de São Pedro";2;2;3;-
"350075 Alambari";-;-;-;2
"350080 Alfredo Marcondes";-;4;2;-
"350090 Altair";-;3;3;-
"350120 Álvares Florence";-;3;3;-
"350130 Álvares Machado";-;-;12;3
"350140 Álvaro de Carvalho";-;-;4;6
"350150 Alvinlândia";-;3;3;4
"350160 Americana";3;8;12;42
"350170 Américo Brasiliense";-;-;-;19
"350190 Amparo";-;-;-;26
"350200 Analândia";-;4;4;4
"350210 Andradina";3;9;7;14
"350240 Anhumas";-;-;-;7
"350250 Aparecida";5;5;5;2
"350270 Apiaí";-;-;-;1
"350280 Araçatuba";-;1;-;54
"350300 Aramina";-;4;2;-
"350320 Araraquara";-;2;6;29
"350330 Araras";4;5;4;9
"350350 Areias";-;-;-;1
"350360 Areiópolis";-;-;-;12
"350370 Ariranha";-;-;-;4
"350380 Artur Nogueira";-;-;30;12
"350390 Arujá";8;8;8;10
"350395 Aspásia";-;-;-;3
"350400 Assis";10;7;13;42
"350410 Atibaia";-;-;-;11
"350430 Avaí";-;-;-;3
"350440 Avanhandava";-;2;8;-
"350450 Avaré";-;-;1;8
"350470 Balbinos";-;-;-;4
"350500 Barão de Antonina";-;-;-;2
"350530 Barra Bonita";-;-;-;6
"350535 Barra do Chapéu";-;-;-;3
"350550 Barretos";7;11;41;50
"350560 Barrinha";2;-;1;15
"350570 Barueri";2;3;-;23
"350580 Bastos";-;-;-;7
"350590 Batatais";-;5;5;5
"350600 Bauru";10;29;27;96
"350610 Bebedouro";-;3;2;20
"350620 Bento de Abreu";-;-;-;3
"350630 Bernardino de Campos";-;-;1;-
"350635 Bertioga";2;1;3;10
"350650 Birigui";-;-;-;11
"350690 Bofete";4;4;4;-
"350715 Bom Sucesso de Itararé";-;-;-;2
"350720 Borá";-;-;-;3
"350730 Boracéia";3;3;3;-
"350745 Borebi";-;2;2;-
"350750 Botucatu";10;5;5;40
"350760 Bragança Paulista";-;1;-;14
"350770 Braúna";3;2;2;-
"350775 Brejo Alegre";-;-;-;4
"350780 Brodowski";-;-;-;4
"350810 Buritama";-;-;-;2
"350820 Buritizal";-;-;-;2
"350840 Cabreúva";2;-;129;9
"350850 Caçapava";-;-;-;3
"350890 Caiabu";-;-;-;3
"350900 Caieiras";3;3;2;4
"350910 Caiuá";-;-;3;-
"350920 Cajamar";5;3;3;13
"350925 Cajati";-;-;-;3
"350940 Cajuru";-;-;-;10
"350945 Campina do Monte Alegre";-;-;-;3
"350950 Campinas";22;12;25;419
"350960 Campo Limpo Paulista";-;-;-;1
"350970 Campos do Jordão";1;-;-;4
"350980 Campos Novos Paulista";-;-;-;1
"351015 Canitar";-;-;-;3
"351020 Capão Bonito";-;-;-;2
"351030 Capela do Alto";-;-;8;2
"351040 Capivari";-;-;-;7
"351050 Caraguatatuba";6;7;7;14
"351060 Carapicuíba";-;4;4;12
"351070 Cardoso";-;-;-;2
"351080 Casa Branca";-;-;14;11
"351100 Castilho";-;-;-;1
"351110 Catanduva";2;2;5;54
"351120 Catiguá";-;-;-;7
"351130 Cedral";3;6;6;10
"351140 Cerqueira César";-;-;6;7
"351150 Cerquilho";-;-;-;21
"351160 Cesário Lange";-;-;-;4
"351190 Clementina";-;-;-;6
"351220 Conchal";-;-;-;4
"351240 Cordeirópolis";2;4;4;2
"351250 Coroados";-;-;-;5
"351260 Coronel Macedo";3;4;4;-
"351270 Corumbataí";-;-;-;4
"351280 Cosmópolis";-;-;-;9
"351300 Cotia";-;-;-;48
"351320 Cristais Paulista";4;1;-;5
"351330 Cruzália";-;4;3;-
"351340 Cruzeiro";-;-;-;20
"351350 Cubatão";-;-;-;15
"351360 Cunha";-;-;-;1
"351370 Descalvado";-;3;3;3
"351380 Diadema";9;10;10;61
"351385 Dirce Reis";1;1;1;1
"351410 Dois Córregos";-;1;1;-
"351420 Dolcinópolis";-;-;-;6
"351440 Dracena";-;-;-;17
"351450 Duartina";-;2;2;-
"351460 Dumont";4;4;4;-
"351470 Echaporã";2;4;4;-
"351490 Elias Fausto";3;3;3;7
"351492 Elisiário";-;-;-;2
"351500 Embu das Artes";-;-;-;18
"351512 Emilianópolis";2;4;4;-
"351518 Espírito Santo do Pinhal";-;4;9;6
"351519 Espírito Santo do Turvo";-;4;3;-
"355730 Estiva Gerbi";-;-;20;-
"351520 Estrela d'Oeste";-;-;45;-
"351530 Estrela do Norte";-;-;-;6
"351535 Euclides da Cunha Paulista";-;-;-;4
"351560 Fernando Prestes";-;4;4;2
"351550 Fernandópolis";-;15;12;23
"351570 Ferraz de Vasconcelos";-;-;-;9
"351580 Flora Rica";-;-;-;3
"351590 Floreal";-;-;-;4
"351610 Florínia";3;4;3;-
"351620 Franca";10;4;4;80
"351630 Francisco Morato";4;-;-;7
"351640 Franco da Rocha";-;3;14;8
"351650 Gabriel Monteiro";-;3;3;-
"351670 Garça";-;-;-;6
"351685 Gavião Peixoto";-;-;-;3
"351710 Glicério";-;-;-;4
"351720 Guaiçara";-;-;-;2
"351730 Guaimbê";-;-;-;1
"351740 Guaíra";-;1;1;-
"351770 Guará";-;2;2;3
"351780 Guaraçaí";-;-;-;1
"351790 Guaraci";-;-;-;1
"351800 Guarani d'Oeste";-;-;-;5
"351820 Guararapes";-;-;-;5
"351830 Guararema";-;-;-;1
"351840 Guaratinguetá";4;10;16;13
"351850 Guareí";-;-;-;6
"351860 Guariba";-;-;-;1
"351870 Guarujá";7;10;12;50
"351880 Guarulhos";1;1;9;67
"351885 Guatapará";-;5;7;-
"351890 Guzolândia";-;3;3;-
"351905 Holambra";-;-;-;4
"351907 Hortolândia";-;-;9;28
"351920 Iacri";-;-;-;5
"351925 Iaras";-;-;11;-
"351930 Ibaté";-;1;-;6
"351940 Ibirá";-;-;-;7
"351950 Ibirarema";6;4;4;1
"351960 Ibitinga";-;-;-;4
"351970 Ibiúna";-;-;-;113
"351980 Icém";-;-;6;3
"351990 Iepê";-;-;-;3
"352020 Igaratá";-;-;-;1
"352044 Ilha Solteira";-;-;-;2
"352040 Ilhabela";-;-;-;6
"352050 Indaiatuba";9;4;4;23
"352060 Indiana";-;-;-;6
"352070 Indiaporã";-;-;-;4
"352080 Inúbia Paulista";-;-;-;5
"352100 Iperó";-;8;19;-
"352110 Ipeúna";6;6;6;-
"352115 Ipiguá";-;-;-;8
"352160 Irapuru";-;-;1;5
"352180 Itaí";-;-;-;1
"352190 Itajobi";-;-;-;10
"352210 Itanhaém";8;10;11;10
"352215 Itaóca";-;-;-;3
"352220 Itapecerica da Serra";-;-;8;5
"352230 Itapetininga";2;-;-;27
"352240 Itapeva";2;3;3;4
"352250 Itapevi";2;-;-;17
"352260 Itapira";-;-;-;4
"352265 Itapirapuã Paulista";-;-;-;3
"352270 Itápolis";-;-;-;3
"352280 Itaporanga";1;-;-;-
"352310 Itaquaquecetuba";3;-;-;5
"352320 Itararé";-;-;-;1
"352340 Itatiba";5;7;11;34
"352350 Itatinga";-;-;-;1
"352360 Itirapina";-;-;-;1
"352370 Itirapuã";-;4;4;3
"352380 Itobi";3;2;4;-
"352390 Itu";3;4;4;42
"352400 Itupeva";2;3;3;11
"352410 Ituverava";-;-;-;7
"352430 Jaboticabal";-;-;-;7
"352440 Jacareí";3;1;1;25
"352450 Jaci";-;-;150;-
"352470 Jaguariúna";-;-;-;3
"352480 Jales";-;1;-;15
"352490 Jambeiro";-;-;-;1
"352500 Jandira";2;5;2;5
"352530 Jaú";4;4;2;40
"352540 Jeriquara";-;-;-;6
"352560 João Ramalho";-;-;-;4
"352570 José Bonifácio";-;-;-;2
"352580 Júlio Mesquita";-;-;-;3
"352585 Jumirim";-;-;-;2
"352590 Jundiaí";10;7;7;65
"352600 Junqueirópolis";-;-;-;10
"352630 Lagoinha";-;2;2;-
"352640 Laranjal Paulista";1;1;1;2
"352660 Lavrinhas";1;1;1;-
"352670 Leme";-;3;3;-
"352680 Lençóis Paulista";6;7;6;15
"352690 Limeira";1;-;-;33
"352700 Lindóia";3;6;5;2
"352710 Lins";1;-;-;9
"352720 Lorena";1;1;1;20
"352725 Lourdes";-;3;3;-
"352730 Louveira";-;-;-;3
"352740 Lucélia";-;-;-;1
"352750 Lucianópolis";-;-;-;2
"352760 Luís Antônio";2;-;-;4
"352780 Lupércio";-;-;-;2
"352790 Lutécia";-;-;-;4
"352800 Macatuba";-;-;-;2
"352810 Macaubal";-;-;-;2
"352830 Magda";-;-;-;3
"352860 Manduri";-;-;-;1
"352885 Marapoama";-;-;-;4
"352890 Mariápolis";-;-;-;1
"352900 Marília";12;11;11;32
"352920 Martinópolis";-;3;3;-
"352930 Matão";2;3;3;10
"352940 Mauá";11;2;7;37
"352950 Mendonça";2;3;3;-
"352960 Meridiano";5;3;3;-
"352965 Mesópolis";-;3;3;-
"352970 Miguelópolis";-;-;-;2
"352980 Mineiros do Tietê";-;3;-;-
"353000 Mira Estrela";-;-;-;13
"353010 Mirandópolis";-;-;17;-
"353020 Mirante do Paranapanema";-;-;-;4
"353030 Mirassol";3;1;1;2
"353050 Mococa";-;-;-;8
"353060 Mogi das Cruzes";6;-;6;48
"353070 Mogi Guaçu";2;6;6;21
"353080 Mogi Mirim";3;4;4;9
"353090 Mombuca";6;3;3;3
"353100 Monções";-;2;2;-
"353110 Mongaguá";-;-;69;3
"353130 Monte Alto";4;9;9;2
"353140 Monte Aprazível";-;-;-;3
"353150 Monte Azul Paulista";-;-;-;1
"353160 Monte Castelo";-;-;-;2
"353170 Monteiro Lobato";-;2;2;-
"353190 Morro Agudo";3;-;-;7
"353200 Morungaba";-;-;-;3
"353205 Motuca";-;6;6;-
"353210 Murutinga do Sul";-;1;1;-
"353215 Nantes";-;-;-;2
"353220 Narandiba";-;2;2;-
"353230 Natividade da Serra";-;3;3;-
"353240 Nazaré Paulista";-;-;-;5
"353260 Nhandeara";-;-;-;1
"353270 Nipoã";-;-;-;3
"353280 Nova Aliança";-;6;6;-
"353284 Nova Canaã Paulista";-;2;2;1
"353286 Nova Castilho";-;-;-;1
"353290 Nova Europa";-;-;-;3
"353300 Nova Granada";-;-;13;-
"353310 Nova Guataporanga";-;3;3;-
"353320 Nova Independência";-;-;5;2
"353330 Nova Luzitânia";-;-;-;6
"353325 Novais";-;2;2;5
"353350 Novo Horizonte";1;-;-;2
"353360 Nuporanga";3;3;3;4
"353370 Ocauçu";-;-;-;7
"353390 Olímpia";-;-;-;21
"353400 Onda Verde";-;-;-;10
"353410 Oriente";-;-;-;4
"353430 Orlândia";-;-;-;11
"353440 Osasco";12;13;23;156
"353450 Oscar Bressane";-;-;-;5
"353460 Osvaldo Cruz";1;-;4;5
"353470 Ourinhos";4;6;7;19
"353480 Ouro Verde";-;6;6;-
"353475 Ouroeste";-;-;-;5
"353490 Pacaembu";-;-;13;2
"353510 Palmares Paulista";-;2;2;-
"353530 Palmital";-;-;-;2
"353540 Panorama";-;-;-;6
"353550 Paraguaçu Paulista";-;1;-;6
"353590 Paranapuã";-;-;-;4
"353600 Parapuã";-;-;-;1
"353625 Parisi";-;-;-;3
"353630 Patrocínio Paulista";3;3;2;2
"353640 Paulicéia";-;-;-;3
"353650 Paulínia";4;2;2;17
"353657 Paulistânia";-;-;-;5
"353660 Paulo de Faria";1;3;2;6
"353670 Pederneiras";-;-;-;3
"353680 Pedra Bela";-;-;-;2
"353690 Pedranópolis";-;-;-;2
"353700 Pedregulho";-;-;-;4
"353710 Pedreira";-;-;-;2
"353715 Pedrinhas Paulista";-;3;3;-
"353730 Penápolis";-;2;2;-
"353740 Pereira Barreto";-;3;3;4
"353750 Pereiras";-;-;-;8
"353760 Peruíbe";3;4;4;4
"353770 Piacatu";-;3;3;-
"353780 Piedade";-;-;-;6
"353800 Pindamonhangaba";4;4;-;8
"353810 Pindorama";-;-;-;7
"353830 Piquerobi";-;-;-;6
"353860 Piracaia";-;-;-;2
"353870 Piracicaba";6;1;8;51
"353880 Piraju";-;-;-;3
"353900 Pirangi";-;-;-;3
"353910 Pirapora do Bom Jesus";-;-;-;3
"353920 Pirapozinho";-;-;-;3
"353930 Pirassununga";1;3;3;75
"353940 Piratininga";-;4;4;1
"353950 Pitangueiras";-;-;-;8
"353960 Planalto";-;-;-;3
"353970 Platina";-;-;-;2
"354000 Pompéia";-;-;-;4
"354010 Pongaí";-;-;-;2
"354025 Pontalinda";-;-;-;6
"354060 Porto Feliz";-;-;-;2
"354070 Porto Ferreira";1;2;3;-
"354075 Potim";-;4;5;1
"354080 Potirendaba";-;-;-;10
"354085 Pracinha";-;-;1;1
"354090 Pradópolis";-;2;2;2
"354100 Praia Grande";9;5;11;28
"354105 Pratânia";-;-;-;4
"354120 Presidente Bernardes";-;-;-;6
"354130 Presidente Epitácio";-;-;-;3
"354140 Presidente Prudente";4;3;12;55
"354150 Presidente Venceslau";-;-;17;6
"354160 Promissão";-;-;-;2
"354170 Quatá";3;3;3;-
"354200 Quintana";-;-;-;5
"354210 Rafard";-;3;-;-
"354230 Redenção da Serra";2;2;2;1
"354240 Regente Feijó";-;-;-;3
"354250 Reginópolis";-;-;-;4
"354260 Registro";2;7;7;8
"354270 Restinga";-;-;-;5
"354280 Ribeira";-;-;4;4
"354290 Ribeirão Bonito";-;-;-;1
"354310 Ribeirão Corrente";-;-;-;13
"354323 Ribeirão dos Índios";-;-;-;4
"354325 Ribeirão Grande";-;-;-;5
"354330 Ribeirão Pires";1;-;-;17
"354340 Ribeirão Preto";7;34;20;200
"354360 Rifaina";1;1;1;2
"354380 Rinópolis";-;-;-;2
"354390 Rio Claro";-;6;25;34
"354420 Riolândia";-;3;18;5
"354425 Rosana";-;-;-;10
"354430 Roseira";-;-;-;42
"354440 Rubiácea";-;-;-;2
"354450 Rubinéia";-;-;-;1
"354470 Sagres";-;-;-;2
"354490 Sales Oliveira";-;-;-;5
"354510 Salmourão";-;-;-;4
"354515 Saltinho";2;-;-;5
"354520 Salto";-;-;3;46
"354530 Salto de Pirapora";2;5;-;-
"354550 Sandovalina";-;3;3;-
"354570 Santa Albertina";-;-;-;6
"354580 Santa Bárbara d'Oeste";13;11;12;24
"354610 Santa Clara d'Oeste";-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;6
"354625 Santa Cruz da Esperança";-;-;-;1
"354640 Santa Cruz do Rio Pardo";3;3;3;4
"354660 Santa Fé do Sul";-;45;-;3
"354700 Santa Maria da Serra";-;-;-;3
"354710 Santa Mercedes";1;-;-;3
"354740 Santa Rita d'Oeste";-;-;-;4
"354760 Santa Rosa de Viterbo";-;-;-;3
"354765 Santa Salete";-;-;-;2
"354730 Santana de Parnaíba";-;2;2;7
"354770 Santo Anastácio";-;-;-;4
"354780 Santo André";7;12;14;155
"354790 Santo Antônio da Alegria";-;-;-;2
"354805 Santo Antônio do Aracanguá";-;2;2;1
"354810 Santo Antônio do Jardim";2;4;3;-
"354820 Santo Antônio do Pinhal";2;3;3;1
"354830 Santo Expedito";-;-;-;5
"354840 Santópolis do Aguapeí";-;3;3;-
"354850 Santos";20;33;23;94
"354860 São Bento do Sapucaí";-;-;-;5
"354870 São Bernardo do Campo";2;24;30;74
"354880 São Caetano do Sul";4;13;4;36
"354890 São Carlos";2;4;5;50
"354900 São Francisco";-;-;-;4
"354910 São João da Boa Vista";1;3;2;37
"354920 São João das Duas Pontes";-;-;-;2
"354925 São João de Iracema";-;-;-;6
"354930 São João do Pau d'Alho";4;6;6;-
"354940 São Joaquim da Barra";2;8;8;10
"354970 São José do Rio Pardo";-;-;-;18
"354980 São José do Rio Preto";2;6;10;77
"354990 São José dos Campos";35;4;6;98
"354995 São Lourenço da Serra";3;3;3;-
"355030 São Paulo";204;112;123;1277
"355040 São Pedro";-;-;-;14
"355050 São Pedro do Turvo";-;-;-;4
"355060 São Roque";3;56;466;41
"355070 São Sebastião";-;1;3;8
"355090 São Simão";-;-;-;2
"355100 São Vicente";2;3;15;45
"355110 Sarapuí";1;3;3;-
"355120 Sarutaiá";-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;4
"355140 Serra Azul";-;3;3;-
"355160 Serra Negra";1;1;1;2
"355150 Serrana";4;5;3;2
"355170 Sertãozinho";-;3;2;44
"355200 Silveiras";-;-;-;3
"355220 Sorocaba";2;24;22;55
"355240 Sumaré";2;1;2;23
"355255 Suzanápolis";-;2;2;2
"355250 Suzano";14;16;12;15
"355260 Tabapuã";-;3;4;-
"355270 Tabatinga";-;-;-;1
"355280 Taboão da Serra";8;9;6;27
"355290 Taciba";-;-;-;7
"355300 Taguaí";-;-;-;4
"355320 Taiúva";-;-;-;2
"355330 Tambaú";-;-;17;1
"355385 Taquarivaí";-;-;-;2
"355390 Tarabai";-;-;-;9
"355395 Tarumã";5;5;5;6
"355400 Tatuí";-;-;-;2
"355410 Taubaté";8;8;15;63
"355420 Tejupá";-;-;-;4
"355430 Teodoro Sampaio";-;-;-;8
"355450 Tietê";-;-;-;2
"355460 Timburi";-;2;2;-
"355465 Torre de Pedra";-;4;4;-
"355475 Trabiju";-;2;2;-
"355480 Tremembé";6;7;8;6
"355490 Três Fronteiras";-;-;-;5
"355500 Tupã";5;4;4;23
"355510 Tupi Paulista";-;2;7;7
"355520 Turiúba";-;-;-;4
"355530 Turmalina";-;3;3;-
"355535 Ubarana";-;2;2;-
"355540 Ubatuba";-;-;-;4
"355550 Ubirajara";2;3;3;-
"355570 União Paulista";-;-;-;6
"355580 Urânia";-;4;3;6
"355600 Urupês";-;-;-;3
"355610 Valentim Gentil";-;-;-;3
"355620 Valinhos";6;4;105;131
"355635 Vargem";-;-;-;1
"355640 Vargem Grande do Sul";-;-;-;5
"355645 Vargem Grande Paulista";1;9;102;8
"355650 Várzea Paulista";-;-;-;7
"355660 Vera Cruz";-;-;-;73
"355670 Vinhedo";1;6;10;11
"355695 Vitória Brasil";-;-;-;1
"355700 Votorantim";-;-;-;1
"355710 Votuporanga";2;4;4;21
"355715 Zacarias";-;-;-;4
"410010 Abatiá";-;-;-;1
"410020 Adrianópolis";-;-;-;7
"410030 Agudos do Sul";-;3;3;1
"410040 Almirante Tamandaré";-;-;-;5
"410045 Altamira do Paraná";-;-;-;2
"412862 Alto Paraíso";-;-;-;4
"410050 Altônia";-;-;-;6
"410080 Alvorada do Sul";-;-;-;1
"410100 Ampére";-;-;-;2
"410105 Anahy";-;-;-;3
"410115 Ângulo";-;2;2;-
"410130 Antônio Olinto";-;-;-;2
"410140 Apucarana";4;5;6;24
"410150 Arapongas";-;-;-;13
"410160 Arapoti";-;-;-;2
"410165 Arapuã";-;-;-;2
"410180 Araucária";1;-;-;12
"410190 Assaí";-;-;-;4
"410200 Assis Chateaubriand";2;2;-;9
"410210 Astorga";-;-;-;1
"410220 Atalaia";-;-;-;1
"410230 Balsa Nova";1;1;1;-
"410240 Bandeirantes";2;3;3;3
"410250 Barbosa Ferraz";-;-;-;2
"410260 Barracão";-;-;-;4
"410275 Bela Vista da Caroba";-;-;-;2
"410280 Bela Vista do Paraíso";-;-;-;4
"410290 Bituruna";-;-;-;1
"410300 Boa Esperança";-;-;-;2
"410302 Boa Esperança do Iguaçu";-;-;-;5
"410304 Boa Ventura de São Roque";-;-;-;2
"410305 Boa Vista da Aparecida";3;4;4;-
"410310 Bocaiúva do Sul";-;-;-;2
"410320 Bom Sucesso";-;1;1;3
"410330 Borrazópolis";-;-;-;2
"410335 Braganey";-;-;-;3
"410340 Cafeara";-;-;-;6
"410345 Cafelândia";-;-;-;2
"410370 Cambé";-;1;-;5
"410395 Campina do Simão";-;-;-;2
"410400 Campina Grande do Sul";3;5;-;-
"410405 Campo Bonito";-;-;-;1
"410410 Campo do Tenente";-;-;-;1
"410420 Campo Largo";-;-;-;5
"410425 Campo Magro";-;-;-;5
"410430 Campo Mourão";5;5;5;19
"410440 Cândido de Abreu";-;-;-;2
"410442 Candói";-;4;-;4
"410450 Capanema";-;-;-;3
"410480 Cascavel";44;28;34;82
"410490 Castro";6;3;3;14
"410500 Catanduvas";4;5;7;2
"410510 Centenário do Sul";-;-;-;2
"410520 Cerro Azul";-;-;-;1
"410530 Céu Azul";-;-;-;2
"410540 Chopinzinho";-;-;-;4
"410550 Cianorte";2;-;-;17
"410560 Cidade Gaúcha";-;-;-;1
"410570 Clevelândia";-;-;-;5
"410580 Colombo";-;1;-;6
"410590 Colorado";-;1;1;3
"410600 Congonhinhas";-;-;-;1
"410610 Conselheiro Mairinck";1;1;1;1
"410640 Cornélio Procópio";-;-;-;8
"410650 Coronel Vivida";2;3;3;2
"410655 Corumbataí do Sul";-;-;-;2
"410680 Cruz Machado";-;-;-;1
"410657 Cruzeiro do Iguaçu";-;-;-;6
"410690 Curitiba";18;45;49;493
"410715 Diamante D'Oeste";-;-;-;2
"410720 Dois Vizinhos";3;3;3;5
"410725 Douradina";1;-;-;-
"412863 Doutor Ulysses";-;-;-;4
"410750 Engenheiro Beltrão";-;-;-;2
"410753 Entre Rios do Oeste";1;2;2;-
"410755 Farol";-;2;2;3
"410765 Fazenda Rio Grande";-;2;1;4
"410773 Fernandes Pinheiro";-;2;1;-
"410775 Figueira";-;-;-;1
"410785 Flor da Serra do Sul";-;2;2;-
"410800 Florestópolis";-;-;-;2
"410810 Flórida";-;3;3;1
"410830 Foz do Iguaçu";8;3;3;62
"410845 Foz do Jordão";-;1;-;2
"410832 Francisco Alves";3;4;3;-
"410840 Francisco Beltrão";6;2;-;56
"410860 Goioerê";-;-;-;1
"410880 Guaíra";1;-;-;3
"410890 Guairaçá";-;-;-;2
"410895 Guamiranga";-;-;-;10
"410920 Guaraci";2;2;2;-
"410940 Guarapuava";15;18;25;47
"410950 Guaraqueçaba";-;-;-;2
"410960 Guaratuba";-;-;-;4
"410965 Honório Serpa";1;1;1;1
"410970 Ibaiti";-;-;-;16
"410980 Ibiporã";-;-;-;26
"411000 Iguaraçu";-;3;3;2
"411005 Iguatu";-;-;-;6
"411007 Imbaú";-;-;-;3
"411010 Imbituva";-;-;-;3
"411050 Ipiranga";3;3;3;-
"411060 Iporã";-;-;-;1
"411070 Irati";-;-;-;5
"411095 Itaipulândia";-;-;-;3
"411100 Itambaracá";-;-;-;1
"411110 Itambé";-;-;-;6
"411125 Itaperuçu";1;2;2;9
"411150 Ivaiporã";-;-;-;4
"411180 Jacarezinho";1;5;4;13
"411210 Jandaia do Sul";2;2;2;8
"411275 Jesuítas";-;-;-;3
"411300 Jussara";-;-;-;2
"411320 Lapa";-;-;-;1
"411330 Laranjeiras do Sul";-;-;-;9
"411340 Leópolis";-;-;-;2
"411350 Loanda";1;-;-;4
"411360 Lobato";3;4;4;-
"411370 Londrina";32;14;5;83
"411373 Luiziana";-;2;2;-
"411400 Mamborê";-;-;-;1
"411410 Mandaguaçu";-;-;-;4
"411420 Mandaguari";-;2;2;-
"411430 Mandirituba";1;3;-;4
"411440 Mangueirinha";3;6;6;6
"411450 Manoel Ribas";-;-;-;4
"411460 Marechal Cândido Rondon";2;9;9;8
"411480 Marialva";-;-;-;3
"411490 Marilândia do Sul";-;-;-;2
"411510 Mariluz";-;3;3;5
"411520 Maringá";8;36;32;98
"411530 Mariópolis";-;-;-;6
"411535 Maripá";-;-;-;1
"411540 Marmeleiro";-;2;2;-
"411550 Marumbi";-;-;3;1
"411560 Matelândia";-;-;-;13
"411570 Matinhos";-;-;-;3
"411573 Mato Rico";-;3;3;-
"411580 Medianeira";2;5;4;18
"411585 Mercedes";-;3;3;-
"411610 Moreira Sales";-;-;-;3
"411620 Morretes";-;-;-;2
"411630 Munhoz de Melo";-;-;-;4
"411670 Nova Aurora";-;-;-;6
"411680 Nova Cantu";-;-;-;2
"411690 Nova Esperança";-;3;4;2
"411705 Nova Laranjeiras";2;3;3;-
